old_uuid,old_url,new_path,category
020b24ca-1231-4bdd-b05e-c76157f13bc3,https://smartdashs3120108-dev.s3.amazonaws.com/public/ORG%23DCTOURS/020b24ca-1231-4bdd-b05e-c76157f13bc3.webp,content/5-key-benefits-of-opting-for-a-private-night-bus-t-01.webp,content
0252031d-3318-4927-b346-d6641fee8439,https://smartdashs3120108-dev.s3.amazonaws.com/public/ORG%23DCTOURS/0252031d-3318-4927-b346-d6641fee8439.webp,content/fun-facts-about-washington-dc-01.webp,content
02c6872a-346c-4b2e-bdaa-377bf8970eef,https://smartdashs3120108-dev.s3.amazonaws.com/public/ORG%23DCTOURS/02c6872a-346c-4b2e-bdaa-377bf8970eef.jpg,content/about-01.jpg,content
032ccecf-ebbe-4e8d-bbfc-e266e2b02a3c,https://smartdashs3120108-dev.s3.amazonaws.com/public/ORG%23DCTOURS/032ccecf-ebbe-4e8d-bbfc-e266e2b02a3c.jpg,content/national-arboretum-azalea-collection-dc-tours-01.jpg,content
035b9c9e-f132-4b88-9818-998106b90076,https://smartdashs3120108-dev.s3.amazonaws.com/public/ORG%23DCTOURS/035b9c9e-f132-4b88-9818-998106b90076.jpg,content/presidential-legacy-tours-dc-01.jpg,content
04dbe122-beaf-44db-bc5f-d8947f5ce693,https://smartdashs3120108-dev.s3.amazonaws.com/public/ORG%23DCTOURS/04dbe122-beaf-44db-bc5f-d8947f5ce693.jpg,content/blog-01.jpg,content
06d665c4-1719-40d5-aa75-d93041cc4cf4,https://smartdashs3120108-dev.s3.amazonaws.com/public/ORG%23DCTOURS/06d665c4-1719-40d5-aa75-d93041cc4cf4.webp,content/blog-02.webp,content
0833813e-ae61-4e42-84b4-61d3cc16611b,https://smartdashs3120108-dev.s3.amazonaws.com/public/ORG%23DCTOURS/0833813e-ae61-4e42-84b4-61d3cc16611b.jpg,content/ultimate-vip-experience-luxury-transportation-01.jpg,content
083847b0-000c-43ba-9b25-0adab68345d8,https://smartdashs3120108-dev.s3.amazonaws.com/public/ORG%23DCTOURS/083847b0-000c-43ba-9b25-0adab68345d8.webp,content/militaryservice-01.webp,content
08830338-ed8f-4af4-bd14-f691e411b0da,https://smartdashs3120108-dev.s3.amazonaws.com/public/ORG%23DCTOURS/08830338-ed8f-4af4-bd14-f691e411b0da.jpg,content/washington-dc-holiday-events-guide-01.jpg,content
